Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
37.55700198446483_126.9219901012119_1_180.jpg,0.4156,0.0103,0.2658,0.0,0.0178,0.0032,0.0007,0.0049,0.1222,0.0003,0.1415,0.0025,0.0,0.0153,0.0,0.0,0.0,0.0,0.0
37.56388104551429_126.9206409340611_1_180.jpg,0.424,0.0123,0.1932,0.0013,0.0123,0.0036,0.0,0.0093,0.161,0.0,0.1703,0.0048,0.0002,0.0073,0.0,0.0003,0.0,0.0,0.0
37.55495593341888_126.9160556145427_0_0.jpg,0.3397,0.0127,0.3475,0.0002,0.0,0.0082,0.0,0.0066,0.1633,0.0359,0.0658,0.0083,0.0,0.0045,0.0002,0.0,0.0,0.006,0.0013
37.56059748884136_126.9167784397406_0_0.jpg,0.3808,0.0055,0.2484,0.0,0.0,0.0057,0.0,0.0047,0.2015,0.0016,0.0964,0.0028,0.0002,0.0215,0.0285,0.0,0.0,0.0009,0.0014
37.55867218542681_126.923511422064_1_180.jpg,0.3793,0.0344,0.0867,0.0,0.0046,0.004,0.0006,0.0058,0.2663,0.0,0.1898,0.0031,0.0001,0.0253,0.0,0.0,0.0,0.0,0.0
37.56569967979132_126.9241023547449_1_180.jpg,0.0388,0.0,0.7897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0865,0.0466,0.0,0.0383,0.0,0.0,0.0,0.0,0.0
37.56643131282284_126.9205242845281_1_180.jpg,0.0013,0.0012,0.0018,0.2782,0.0,0.0318,0.0,0.0,0.6711,0.0013,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0
37.55516290985047_126.9172850120003_0_0.jpg,0.195,0.0912,0.5215,0.0,0.0367,0.0,0.0,0.009,0.1295,0.0,0.0,0.0156,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
37.56504394548384_126.9256367559734_1_180.jpg,0.2984,0.0,0.5364,0.0,0.0,0.0,0.0,0.0044,0.0216,0.0003,0.1269,0.0106,0.0,0.0013,0.0001,0.0,0.0,0.0,0.0
37.56200393318479_126.9194083115405_1_180.jpg,0.3243,0.0022,0.4879,0.0,0.0039,0.0002,0.0,0.0,0.0348,0.0002,0.1156,0.0157,0.0,0.0115,0.0005,0.0032,0.0,0.0,0.0
