Image File,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,SafeScore,RiskScore,BSS,x,y
37.36223525824953_127.1059899229464_1_180.jpg,0.3711,0.0099,0.2671,0.0001,0.0069,0.0031,0.0011,0.0044,0.1934,0.0,0.0844,0.012,0.0004,0.0388,0.0074,0.0,0.0,0.0,0.0,0.0319,0.4184,0.0762426476036147,127.1059899229464,37.36223525824953
37.36345159915459_127.1070222825337_0_0.jpg,0.3274,0.003,0.0216,0.0,0.0305,0.0052,0.0,0.006,0.504,0.0,0.0573,0.0,0.0,0.0418,0.0,0.0,0.0,0.0032,0.0,0.0387,0.3724,0.1039202365192359,127.1070222825337,37.36345159915459
37.3607314084669_127.1117870485429_1_180.jpg,0.2149,0.0176,0.2843,0.0,0.0129,0.0,0.0,0.0021,0.1379,0.0,0.1593,0.0003,0.0,0.1709,0.0,0.0,0.0,0.0,0.0,0.0308,0.3858,0.0798339040075064,127.1117870485429,37.3607314084669
37.36852996765786_127.105350796859_1_180.jpg,0.3319,0.0199,0.1542,0.0045,0.0,0.0063,0.0,0.0097,0.3942,0.0584,0.0132,0.0023,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0285,0.3374,0.0844692220829221,127.105350796859,37.36852996765786
37.36855897294166_127.1127172192841_0_0.jpg,0.3189,0.0007,0.3193,0.0,0.0,0.0011,0.0,0.0073,0.257,0.0,0.0,0.0057,0.0005,0.0892,0.0,0.0,0.0,0.0003,0.0,0.0075,0.4084,0.0183643037113033,127.1127172192841,37.36855897294166
37.37806541430138_127.1088108145506_1_180.jpg,0.4083,0.0084,0.0102,0.0019,0.0007,0.0053,0.0081,0.002,0.0729,0.0016,0.4245,0.0008,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0152,0.4717,0.0322238027903269,127.1088108145506,37.37806541430138
37.36933514967186_127.1105582295796_1_180.jpg,0.0469,0.0001,0.589,0.0,0.0035,0.0113,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.3116,0.0,0.0,0.0,0.0,0.0,0.0149,0.3585,0.0415619482232964,127.1105582295796,37.36933514967186
37.36953257585827_127.1043130947821_0_0.jpg,0.4264,0.0,0.0571,0.01,0.0017,0.0017,0.0,0.0012,0.2723,0.0069,0.217,0.0,0.0,0.0041,0.0015,0.0,0.0,0.0,0.0,0.0034,0.432,0.0078703521519626,127.1043130947821,37.36953257585827
37.36032562574569_127.1133256814396_0_0.jpg,0.2595,0.0063,0.3406,0.0,0.0132,0.001,0.0002,0.0091,0.0053,0.0,0.2223,0.0016,0.0,0.1409,0.0,0.0,0.0,0.0,0.0,0.0221,0.4006,0.0551671114150988,127.1133256814396,37.36032562574569
37.36345333743531_127.1146057506377_1_180.jpg,0.1738,0.2121,0.1417,0.0,0.0,0.0395,0.0,0.0215,0.3003,0.0009,0.0879,0.0165,0.001,0.0043,0.0,0.0,0.0,0.0,0.0004,0.2685,0.1781,1.5075715464820525,127.1146057506377,37.36345333743531
37.36471604105027_127.1123905277299_0_0.jpg,0.315,0.0012,0.0163,0.0011,0.0175,0.001,0.0,0.0055,0.4547,0.097,0.0574,0.0098,0.0,0.0064,0.0172,0.0,0.0,0.0,0.0,0.0295,0.3386,0.087123192193762,127.1123905277299,37.36471604105027
